# Unregistered IVSes: 479 Default + 506 Non-Default
3148D E0100; u3148D
3148D E0101; uF128A
31EB5 E0100; u31EB5
31EB5 E0101; uF019A
31EB5 E0102; uF2569
31F5F E0100; u31F5F
31F5F E0101; uF20E9
31F84 E0100; u31F84
31F84 E0101; uF20EB
31FB5 E0100; u31FB5
31FB5 E0101; uF20EA
31FC4 E0100; u31FC4
31FC4 E0101; uF20E8
320E9 E0100; u320E9
320E9 E0101; uF1DCF
320EA E0100; u320EA
320EA E0101; uF0574
3226F E0100; u3226F
3226F E0101; uF0FA8
# EOF
